OMIM	HGNC Approved Gene Symbol	Cytogenetic location
107265	CD19	16p11.2
107266	CD22	19q13.1
107269	CD44	11p13
107270	CD38	4p15.32
107271	CD59	11p13
107272	CD72	9p
107273	CD69	12p13
107280	SERPINA3	14q32.1
107285	SLPI	20q13.12
107290	NA	NA
107300	SERPINC1	1q25.1
107310	SLC9A1	1p36.1-p35
107320	NA	NA
107323	ALDH7A1	5q23.2
107325	CD3EAP	19q13.3
107400	SERPINA1	14q32.1
107410	NA	NA
107440	NA	NA
107450	IFNAR1	21q22.1
107460	NA	NA
107470	IFNGR1	6q23-q24
107480	NA	NA
107500	NA	NA
107550	NA	NA
107580	TFAP2A	6p24.3
107600	NA	NA
107601	NA	NA
107640	NA	NA
107650	NA	NA
107670	NA	NA
107680	NA	NA
107690	APOA4	11q23.3
107700	NA	NA
107710	APOC1	19q13.2
107720	APOC3	11q23.3
107730	NA	NA
107740	APOD	3q29
107741	APOE	19q13.31
107748	APEX1	14q11.2
107750	NA	NA
107760	APOF	12q13
107770	LRP1	12q13.3
107773	NR2F2	15q26
107776	AQP1	7p14
107777	AQP2	12q13.12
107800	NA	NA
107820	RARS	5q35.1
107830	ARG2	14q24.1
107840	NA	NA
107850	NA	NA
107900	NA	NA
107910	CYP19A1	15q21
107920	NA	NA
107930	DDC	7p12.1
107940	ARRB1	11q13
107941	ARRB2	17p13
107950	NA	NA
107970	NA	NA
108000	NA	NA
108010	NA	NA
108050	NA	NA
108100	NA	NA
108110	NA	NA
108120	NA	NA
108130	NA	NA
108140	NA	NA
108145	NA	NA
108200	NA	NA
108300	NA	NA
108320	NA	NA
108330	CYP1A1	15q24.1
108340	NA	NA
108345	NAT1	8p22
108355	GRB2	17q24-q25
108360	ASGR1	17p13-p11
108361	ASGR2	17p
108370	ASNS	7q21.3
108390	NA	NA
108400	NA	NA
108410	NARS	18q21.31
108420	NA	NA
108450	NA	NA
108500	NA	NA
108600	NA	NA
108650	NA	NA
108700	NA	NA
108720	NA	NA
108721	NA	NA
108725	NA	NA
108728	ACLY	17q21.2
108729	ATP5C1	10p14
108730	ATP2A1	16p12.1
108731	ATP2B1	12q21.33
108732	ATP2B4	1q32.1
108733	ATP2B2	3p25.3
108740	ATP2A2	12q24.11
108745	ATP6V0C	16p13.3
108746	ATP6V1E1	22q11.2
108760	NA	NA
108770	NA	NA
108780	NPPA	1p36.21
108800	NA	NA
108900	NA	NA
108950	NA	NA
108960	NPR1	1q21-q22
108961	NPR2	9p13.3
108962	NPR3	5p13.3
108970	NA	NA
108980	NA	NA
108985	NA	NA
108990	MIC7	15q11-q22
109000	NA	NA
109050	NA	NA
109090	SSB	2q31.1
109091	CALR	19p13.13
109092	TRIM21	11p15.5-p15.3
109100	NA	NA
109110		NA
109120	NA	NA
109130	NA	NA
109135	AXL	19q13.1
109150	NA	NA
109160	NA	NA
109170	LST1	6p21.3
109180	NA	NA
109190	SLC1A5	19q13.32
109195	BPI	20q11.23
109200	NA	NA
109270	NA	NA
109280	SLC4A2	7q36.1
109300	NA	NA
109350	NA	NA
109390	NA	NA
109400	NA	NA
109480	BSG	19p13.3
109500	NA	NA
109530	CD48	1q21.3-q22
109535	CD40	20q12-q13.2
109540	NA	NA
109543	NA	NA
109545	TNFRSF17	16p13.1
109560	BCL3	19q13.32
109565	BCL6	3q27
109580	BTG1	12q21.33
109600	NA	NA
109610	TSPO	22q13.3
109630	NA	NA
109635	GRK2	11q13
109636	GRK3	22q11
109640		NA
109650	NA	NA
109660	NA	NA
109670	NA	NA
109675	ST6GAL1	3q27.3
109684	HSD17B1	17q21.2
109685	HSD17B2	16q24.1-q24.2
109690	NA	NA
109691	ADRB3	8p11.23
109700	B2M	15q21.1
109710	B2MR	15q13-q15
109715	HSD3B1	1p12
109720	NA	NA
109730	NA	NA
109740	NA	NA
109750	BLVRA	7p13
109760	HTR1A	5q12.3
109770	CEACAM1	19q13.2
109780		NA
109800	NA	NA
109820	NA	NA
109900	NA	NA
110000	NA	NA
110050	NA	NA
110100	NA	NA
110150	NA	NA
110250	NA	NA
110300	ABO	9q34.2
110310	NA	NA
110350	NA	NA
110450	NA	NA
110500	NA	NA
110600	ART4	12q13.2-q13.3
110700	NA	NA
110720	NA	NA
110750	GYPC	2q14-q21
110800	NA	NA
110900	NA	NA
111000	NA	NA
111100	NA	NA
111130	NA	NA
111150	NA	NA
111200	NA	NA
111250	NA	NA
111300	NA	NA
111360	NA	NA
111380	NA	NA
111400	NA	NA
111410	NA	NA
111500	NA	NA
111600	NA	NA
111620	NA	NA
111680	RHD	1p36.11
111690	NA	NA
111700	NA	NA
111730	B4GALNT2	17q21.33
111740	NA	NA
111750	NA	NA
111800	NA	NA
112000	NA	NA
112010	NA	NA
112050	NA	NA
112100	NA	NA
112200	NA	NA
112203	CD80	3q13.3-q21
112205	CD79A	19q13.2
112210	MS4A1	11q12.2
112240	NA	NA
112250	NA	NA
112260	BGLAP	1q22
112261	BMP2	20p12
112262	BMP4	14q22-q23
112263	BMP3	4q21
112264	BMP1	8p21
112265	BMP5	6p12.1
112266	BMP6	6p24-p23
112267	BMP7	20q13
112270	NA	NA
112300	NA	NA
112310	NA	NA
112350	NA	NA
112370	NA	NA
112410	NA	NA
112430	NA	NA
112440	NA	NA
112450	NA	NA
112500	NA	NA
112600	NA	NA
112700	NA	NA
112800	NA	NA
112900	NA	NA
112910	NA	NA
113000	NA	NA
113100	NA	NA
113200	NA	NA
113300	NA	NA
113301	NA	NA
113310	NA	NA
113400	NA	NA
113450	NA	NA
113470	NA	NA
113475	NA	NA
113477	NA	NA
113480	NA	NA
113500	NA	NA
113503	BDKRB2	14q32.2
113505	BDNF	11p14.1
113508	YWHAH	22q12.1-q13.1
113510		NA
113520	BCAT1	12p12.1
113530	BCAT2	19q13.33
113600	NA	NA
113610	NA	NA
113620	NA	NA
113630	NA	NA
113640	NA	NA
113650	NA	NA
113660	NA	NA
113670	NA	NA
113700	NA	NA
113703	RPL13	16q24.3
113705	BRCA1	17q21.31
113710	TFF1	21q22.3
113720		NA
113721		NA
113725	POU4F2	4q31.22
113730	UCP1	4q31.1
113750	NA	NA
113800	NA	NA
113810	DST	6p12.1
113811	COL17A1	10q24.3
113900	NA	NA
113950	NA	NA
113955		NA
113960	NA	NA
113970	NA	NA
113995	C5AR1	19q13.32
114000	NA	NA
114010	CAD	2p22-p21
114019	CDH15	16q24.3
114020	CDH2	18q12.1
114021	CDH3	16q22.1
114025	CTNNA2	2p12-p11.1
114030	NA	NA
114050	CALB1	8q21.3
114051	CALB2	16q22.2
114065	NA	NA
114070	ANXA6	5q33.1
114078	CAMK2A	5q32
114080	CAMK4	5q22.1
114085	S100A10	1q21
114090	CAST	5q15
114100	NA	NA
114105	PPP3CA	4q24
114106	PPP3CB	10q22.2
114107	PPP3CC	8p21.3
114110	S100A6	1q21
114120	NA	NA
114130	CALCA	11p15.2
114131	CALCR	7q21.3
114140	NA	NA
114150	NA	NA
114160	CALCB	11p15.2
114170	CAPNS1	19q13.1
114180	CALM1	14q32.11
114181	NA	NA
114182	CALM2	2p21.3-p21.1
114183	CALM3	19q13.2-q13.3
114184	CALML3	10p15.1
114190	CALCRL	2q21.1-q21.3
114200	NA	NA
114204	CACNA2D1	7q21-q22
114205	CACNA1C	12p13.3
114206	CACNA1D	3p14.3
114207	CACNB1	17q12
114208	CACNA1S	1q32
114209	CACNG1	17q24.2
114210	S100A4	1q12-q22
114212	CAPS	19p13.3
114213	CALD1	7q33
114217	CANX	5q35
114220	CAPN1	11q13
114230	CAPN2	1q41-q42
114240	CAPN3	15q15.1
114250	CASQ1	1q21
114251	CASQ2	1p13.1
114260	NA	NA
114280	CD52	1p36
114290	NA	NA
114300	NA	NA
114350	NUP214	9q34
114400	NA	NA
114450	NA	NA
114480	NA	NA
114500	NA	NA
114550	NA	NA
114580	NA	NA
114600	NA	NA
114610	CNR1	6q14-q15
114620	NA	NA
114650	NA	NA
114700	NA	NA
114750	CA3	8q21.2
114760	CA4	17q23.1
114761	CA5A	16q24.2
114770	CA7	16q22.1
114780	CA6	1p36.2
114800	CA1	8q21.2
114815	CA8	8q12.1
114830	CBR1	21q22.1
114835	NA	NA
114836	NA	NA
114840	CEL	9q34.3
114841	NA	NA
114850	CPA1	7q32
114851	CPA3	3q24
114852	CPB1	3q24
114855	CPE	4q32.3
114860	CPM	12q15
114890	CEACAM5	19q13.1-q13.2
114900	NA	NA
115000	NA	NA
115080	NA	NA
115150	NA	NA
115195	NA	NA
115196	NA	NA
115197	NA	NA
115198	NA	NA
115200	NA	NA
115210	NA	NA
115250	NA	NA
115300	NA	NA
115310	NA	NA
115400	NA	NA
115430	NA	NA
115435	HAPLN1	5q14.3
115437	MATN1	1p35
115440	CSNK2A1	20p13
115441	CSNK2B	6p21.33
115442	CSNK2A2	16q21
115450	CSN1S1	4q21.1
115460	CSN2	4q21.1
115470	NA	NA
115500	CAT	11p13
115501	TYRP1	9p23
115645	NA	NA
115650	NA	NA
115660	NA	NA
115665	NA	NA
115700	NA	NA
115800	NA	NA
115900	NA	NA
116100	NA	NA
116150	NA	NA
116200	NA	NA
116300	NA	NA
116400	NA	NA
116600	NA	NA
116700	NA	NA
116790	NA	NA
116800	NA	NA
116805	CTNNA1	5q31.2
116806	CTNNB1	3p21
116810	CTSB	8p23.1
116820	CTSH	15q25.1
116830	CTSG	14q12
116831	GZMH	14q11.2
116840	CTSD	11p15.5
116845	CTSS	1q21
116850	NA	NA
116860	NA	NA
116870	NA	NA
116880	CTSL	9q21.33
116890	CTSE	1q32.1
116896	CUX1	7q22.1
116897	CEBPA	19q13.1
116898	CEBPD	8q11.21
116899	CDKN1A	6p21.1
116900	CKS1B	1q21.2
116901	CKS2	9q22
116920	NA	NA
116930	NCAM1	11q23.2
116935	NA	NA
116940	CDK1	10q21.2
116945	MCM2	3q21
116946	CDC27	17q21.32
116947	CDC25A	3p21
116948	CDC34	19p13.3
116949	CDC25B	20p13
116950	NA	NA
116951	CDK11A	1p36.33
116952	CDC42	1p36.1
116953	CDK2	12q13.2
116954	NA	NA
116955	CNBP	3q21
116957	RBL1	20q11.23
116960	MORF4	4q34.1
117000	NA	NA
117100	NA	NA
117139	CENPA	2p23.3
117140	CENPB	20p13
117141	CENPC	4q13.2
117142		NA
117143	CENPE	4q24-q25
117200	NA	NA
117210	NA	NA
117300	NA	NA
117340	CDR2	16p12.2
117350	NA	NA
117360	NA	NA
117400	NA	NA
117550	NA	NA
117600	NA	NA
117650	NA	NA
117700	CP	3q23-q25
117800	NA	NA
117850	NA	NA
117900	NA	NA
118000	NA	NA
118005	NA	NA
118100	NA	NA
118150	NA	NA
118190	HSPD1	2q33.1
118200	NA	NA
118210	NA	NA
118220	NA	NA
118230	NA	NA
118300	NA	NA
118301	NA	NA
118330	NA	NA
118350	NA	NA
118400	NA	NA
118420	NA	NA
118423	CHN1	2q31-q32.1
118425	CLCN1	7q34
118430	NA	NA
118440	CCK	3p22.1
118444	CCKAR	4p15.2
118445	CCKBR	11p15.4
118450	NA	NA
118455	CYP7A1	8q11-q12
118457		NA
118470	CETP	16q13
118480	NA	NA
118485	CYP11A1	15q23-q24
118490	CHAT	10q11.2
118491	CHKA	11q13.1
118493	CHRM2	7q35-q36
118494	CHRM3	1q43
118495	CHRM4	11p12-p11.2
118496	CHRM5	15q26
118502	CHRNA2	8p21
118503	CHRNA3	15q24
118504	CHRNA4	20q13.33
118505	CHRNA5	15q24
118507	CHRNB2	1q21.3
118508	CHRNB3	8p11.21
118509	CHRNB4	15q24
118510	CHRM1	11q12.3
118511	CHRNA7	15q13.3
118600	NA	NA
118610	NA	NA
118650	NA	NA
118651	NA	NA
118661	VCAN	5q14.2-q14.3
118670	NA	NA
118700	NA	NA
118750	NA	NA
118800	NA	NA
118820	CSH2	17q23.3
118825	CHML	1q43
118830	NA	NA
118840	NA	NA
118850	CGA	6q14.3
118860	CGB3	19q13.33
118865	NA	NA
118870	NHCP1	16
118880		NA
118888	CTRL	16q22.1
118890	CTRB1	16q23.1
118900	NA	NA
118910	CHGA	14q32
118920	CHGB	20p12.3
118930	SCG2	2q35-q36
118938	CMA1	14q12
118940	NA	NA
118943	NA	NA
118945	CNTF	11q12
118946	CNTFR	9p13
118950	CS	12q13.2
118953	NA	NA
118955	CLTC	17q23.1
118960	CLTA	9p13.3
118970	CLTB	5q35.2
118980	NA	NA
118990	SSFA2	2q32.1
119000	NA	NA
119100	NA	NA
119300	NA	NA
119500	NA	NA
119530	NA	NA
119540	NA	NA
119550	NA	NA
119570	NA	NA
119580	NA	NA
119600	NA	NA
119650	NA	NA
119800	NA	NA
119900	NA	NA
119915	NA	NA
120000	NA	NA
120040	NA	NA
120050	NA	NA
120070	COL4A3	2q36-q37
120080	NA	NA
120090	COL4A2	13q34
120100	NA	NA
120105	CLPS	6p21.31
120110	COL10A1	6q21-q22
120120	COL7A1	3p21.1
120130	COL4A1	13q34
120131	COL4A4	2q35-q37
120140	NA	NA
120150	NA	NA
120160	COL1A2	7q21.3
120165	COL19A1	6q12-q13
120170		NA
120180	COL3A1	2q32.2
120190	COL5A2	2q14-q32
120200	NA	NA
120210	COL9A1	6q13
120215	COL5A1	9q34.2-q34.3
120216	COL5A3	19p13.2
120220	COL6A1	21q22.3
120240	COL6A2	21q22.3
120250	COL6A3	2q37
120251	COL8A1	3q11.1-q13.2
120252	COL8A2	1p34.2-p32.3
120260	COL9A2	1p33-p32
120270	COL9A3	20q13.3
120280	COL11A1	1p21
120290	COL11A2	6p21.3
120300	NA	NA
120310	NA	NA
120320	COL12A1	6q12-q13
120321	NA	NA
120324	COL14A1	8q23
120325	COL15A1	9q21-q22
120326	COL16A1	1p35-p34
120327	NA	NA
120328	COL18A1	21q22.3
120330	NA	NA
120340	COL1AR	15
120350	COL13A1	10q22
120353	MMP1	11q22.2
120355	MMP8	11q22.2
120360	MMP2	16q12.2
120361	MMP9	20q13.12
120400	NA	NA
120420	CSF1	1p13.3
120430	NA	NA
120433	NA	NA
120435	NA	NA
120436	MLH1	3p22.3
120440	NA	NA
120450	NA	NA
120460	NA	NA
120470	DCC	18q21.1
120500	NA	NA
120502	NA	NA
120520	MME	3q25.2
120550	C1QA	1p36.3-p34.1
120560		NA
120570	C1QB	1p36.3-p34.1
120575	C1QC	1p36.11
120577	CD93	20p11.21
120580	C1S	12p13
120620	CR1	1q32
120650	CR2	1q32
120700	C3	19p13.3-p13.2
120790	NA	NA
120810	C4A	6p21.3
120820	C4B	6p21.3
120830	C4BPA	1q32
120831	C4BPB	1q32
120832	NA	NA
120900	C5	9q33-q34
120920	CD46	1q32
120930	C8G	9q
120940	C9	5p14-p12
120950	C8A	1p32.2
120960	C8B	1p32.2
120970	NA	NA
120980	ITGAM	16p11.2
121000	NA	NA
121009	CTGF	6q23.2
121010	PPBP	4q12-q13
121011	GJB2	13q11-q12
121012	GJA4	1p35.1
121013	GJA5	1q21.2
121014	GJA1	6q22.31
121015	GJA3	13q12.11
121020	NA	NA
121050	NA	NA
121070	NA	NA
121200	NA	NA
121201	NA	NA
121210	NA	NA
121250	NA	NA
121270	NA	NA
121300	NA	NA
121350	NA	NA
121360	CBFB	16q22.1
121390	NA	NA
121400	NA	NA
121450	NA	NA
121700	NA	NA
121800	NA	NA
121820	NA	NA
121850	NA	NA
121900	NA	NA
122000	NA	NA
122100	NA	NA
122200	NA	NA
122400	NA	NA
122430	NA	NA
122440	NA	NA
122450	NA	NA
122455	NA	NA
122460	NA	NA
122470	NA	NA
122480	NA	NA
122500	SERPINA6	14q32.13
122550	NA	NA
122559	CRHBP	5q13.3
122560	CRH	8q13
122561	CRHR1	17q21.31
122580	NA	NA
122600	NA	NA
122700	NA	NA
122720	NA	NA
122750	NA	NA
122780	NA	NA
122850	NA	NA
122860	NA	NA
122880	NA	NA
122900	NA	NA
122920	NA	NA
123000	NA	NA
123050	NA	NA
123100	NA	NA
123101	MSX2	5q35.2
123150	NA	NA
123155	NA	NA
123260	CRP	1q23.2
123270	NA	NA
123280	CKB	14q32.32
123290	CKMT1B	15q15
123295	CKMT2	5q14.1
123310	CKM	19q13.32
123320	NA	NA
123400	NA	NA
123450	NA	NA
123500	NA	NA
123540	NA	NA
123550	NA	NA
123555	NA	NA
123557	NA	NA
123560	NA	NA
123570	NA	NA
123580	CRYAA	21q22.3
123590	CRYAB	11q23.1
123610	CRYBA1	17q11.2-q12
123620	CRYBB2	22q11.23
123630	CRYBB3	22q11.23
123631	CRYBA4	22q12.1
123660	CRYGA	2q34
123670	CRYGB	2q34
123680	CRYGC	2q33.3
123690	CRYGD	2q33.3
123691	CRYZ	1p31.1
123695	PCYT1A	3q29
123700	NA	NA
123710	NA	NA
123720	NA	NA
123730	CRYGS	3q27.3
123740	CRYM	16p12.2
123790	NA	NA
123803	ATF1	12q13
123805	PDE3A	12p12.2
123810	CREB1	2q34
123811	ATF2	2q32
123812	CREM	10p12.1-p11.1
123825	CNGA1	4p12
123828	CDK3	17q25.1
123829	CDK4	12q14.1
123830	CNP	17q21
123831	CDK5	7q36
123832	CDKN3	14q22
123833	CCND2	12p13
123834	CCND3	6p21
123835	CCNA2	4q27
123836	CCNB1	5q12
123837	CCNE1	19q12
123838	CCNC	6q21
123839	NA	NA
123840	PPIA	7p13
123841	PPIB	15q21-q22
123842	PPIC	5q23.2
123850	NA	NA
123853	NA	NA
123855	CST1	20p11.2
123856	CST2	20p11.2
123857	CST4	20p11.2
123858	CST5	20p11.21
123859	CARS	11p15.5
123860	CTPS1	1p34.1
123864	COX4I1	16q24.1
123866	COX5B	2q11.2
123870	COX8A	11q13.1
123875	CRIP1	14q32.33
123876	CSRP1	1q32
123880	NA	NA
123885	S100A8	1q12-q22
123886	S100A9	1q21
123889	IL10RB	21q22.11
123890	CTLA4	2q33
123900	EZR	6q25.3
123910	GZMB	14q11.2
123920	CDA	1p36.2-p35
123930	CYP2B6	19q13.2
123940	KRT4	12q13.13
123950	NA	NA
123960	NA	NA
123970	CYCS	7p21.2
123980	CYC1	8q24
123995	COX7A1	19q13.1
123996	COX7A2	6q14.1
123997	NA	NA
124000	NA	NA
124010	CYP3A4	7q21.1
124015	POR	7q11.2
124020	CYP2C19	10q24
124030	CYP2D6	22q13.1
124040	CYP2E1	10q26.3
124050	DAO	12q24.11
124060	NA	NA
124070	CYP2F1	19q13.1-q13.2
124075	CYP4B1	1p33
124080	CYP11B2	8q21-q22
124089	COX6B1	19q13.1
124090	COX6C	8q22.2
124092	IL10	1q31-q32
124095	CSK	15q24.1
124097	DBP	19q13.33
124100	NA	NA
124200	NA	NA
124300	NA	NA
124400	NA	NA
124450	DDO	6q22.1
124480	NA	NA
124490	NA	NA
124500	NA	NA
124580	NA	NA
124700	NA	NA
124800	NA	NA
124900	NA	NA
124910	NA	NA
124950	NA	NA
125000	NA	NA
125050	NA	NA
125100	NA	NA
125220	DEFA1	8p23.1
125230	NA	NA
125240	CD55	1q32
125250	NA	NA
125255	DCN	12q21.33
125260	NA	NA
125263	SULT2A1	19q13.3
125264	DEK	6p23
125265	REEP5	5q22.2
125270	ALAD	9q32
125280	NA	NA
125290	ALAS1	3p21
125300	NA	NA
125305	DMTN	8p21.1
125310	NA	NA
125320	NA	NA
125350	NA	NA
125370	NA	NA
125400	NA	NA
125420	NA	NA
125440	NA	NA
125450	DCK	4q13.3-q21.1
125460	NA	NA
125480	NA	NA
125485	DSPP	4q21.3
125490	NA	NA
125500	NA	NA
125505	DNASE1	16p13.3
125510	NA	NA
125520	NA	NA
125530	NA	NA
125540	NA	NA
125550	NA	NA
125570	NA	NA
125580	NA	NA
125590	NA	NA
125595	NA	NA
125597	DPT	1q12-q23
125600	NA	NA
125630	NA	NA
125635	NA	NA
125640	NA	NA
125643	DSC1	18q12.1
125645	DSC2	18q12.1
125647	DSP	6p24.3
125650	NA	NA
125660	DES	2q35
125670	DSG1	18q12.1
125671	DSG2	18q12.1
125700	NA	NA
125800	NA	NA
125850	NA	NA
125851	NA	NA
125852	NA	NA
125853	NA	NA
125855	DGKA	12q13.3
125860	NA	NA
125870	NA	NA
125880		NA
125890	NA	NA
125900	NA	NA
125950	DBI	2q12-q21
126050	NA	NA
126060	DHFR	5q14.1
126061	NA	NA
126063	DLST	14q23.1
126064	DHODH	16q22.2
126065	CYP24A1	20q13.2
126070	NA	NA
126090	PCBD1	10q22
126100	NA	NA
126110	ARNT	1q21
126140	NA	NA
126141	DPP6	7q36.2
126150	HBEGF	5q23
126180	NA	NA
126190	NA	NA
126200	NA	NA
126250	NA	NA
126255	DLX2	2q31.1
126300	NA	NA
126320	NA	NA
126330		NA
126335	GADD45A	1p31.2
126337	DDIT3	12q13.1-q13.2
126340	ERCC2	19q13.3
126350	DNASE2	19p13.2
126370	NA	NA
126375	DNMT1	19p13.2
126380	ERCC1	19q13.32
126390	NA	NA
126391	LIG1	19q13.33
126410	NA	NA
126420	TOP1	20q12-q13.1
126430	TOP2A	17q21.2
126431	TOP2B	3p24.2
126440	NA	NA
126448	NA	NA
126449	DRD1	5q34-q35
126450	DRD2	11q23.2
126451	DRD3	3q13.3
126452	DRD4	11p15.5
126453	NA	NA
126455	SLC6A3	5p15.3
126500	NA	NA
126550	NA	NA
126600	NA	NA
126650	SLC26A3	7q31
126660	DBN1	5q35.3
126700	NA	NA
126800	NA	NA
126830	NA	NA
126840	NA	NA
126850	NA	NA
126900	NA	NA
126950	NA	NA
127000	NA	NA
127100	NA	NA
127200	NA	NA
127300	NA	NA
127350	NA	NA
127400	NA	NA
127500	NA	NA
127550	NA	NA
127600	NA	NA
127700	NA	NA
127750	NA	NA
127800	NA	NA
127820	NA	NA
128000	NA	NA
128100	NA	NA
128101	NA	NA
128200	NA	NA
128230	NA	NA
128235	NA	NA
128239	DAG1	3p21
